id,area,question,response
1,Infrastructure,Do you feel safe on school premises?,"Yes, there is CCTV everywhere and it is ok."
2,Infrastructure,Do you feel safe on school premises?,Not entirely; the changing rooms near PE have poor lighting.
3,Relationships,How do you assess teachers’ reactions to conflicts?,It depends on the teacher; some pretend they do not see anything.
4,Procedures,Do you know the evacuation rules?,"Yes, we had a drill last month."
5,Relationships,How do you assess teachers’ reactions to conflicts?,They react quickly; I feel supported.
6,Infrastructure,Do you feel safe on school premises?,The stairs on the second floor are slippery; someone could fall.
7,Procedures,Do you know the evacuation rules?,"I remember something, but I do not know where the assembly point is."
8,Relationships,How do you assess teachers’ reactions to conflicts?,It is good; no one fights.
9,Digital safety,Do you know how to report online hate?,I have no idea who to tell.
10,Digital safety,Do you know how to report online hate?,"Yes, the school counsellor told us about it in class."
11,Infrastructure,Do you feel safe on school premises?,It is fine.
12,Relationships,How do you assess teachers’ reactions to conflicts?,Sometimes they are too strict about minor issues.
13,Procedures,Do you know the evacuation rules?,"There is theoretical knowledge, but no practice."
14,Digital safety,Do you know how to report online hate?,"Probably to the class tutor, but I am not sure."
15,Infrastructure,Do you feel safe on school premises?,The main entrance is crowded and unsafe.
16,Relationships,How do you assess teachers’ reactions to conflicts?,Teachers help solve problems.
17,Digital safety,Do you know how to report online hate?,Yes.
18,Procedures,Do you know the evacuation rules?,"Yes, I know the exit map."
19,Infrastructure,Do you feel safe on school premises?,I am afraid of older students in the smoking area behind the school.
20,Relationships,How do you assess teachers’ reactions to conflicts?,Hard to say; I rarely see conflicts.
21,Digital safety,Do you know how to report online hate?,"Yes, through the anonymous box on the website."
22,Infrastructure,Do you feel safe on school premises?,"CCTV does not work in the toilets, which is good."
23,Procedures,Do you know the evacuation rules?,I do not remember where the keys to emergency exits are.
24,Relationships,How do you assess teachers’ reactions to conflicts?,They often minimise verbal teasing.
25,Digital safety,Do you know how to report online hate?,"Online hate is normal, why report it?"
26,Infrastructure,Do you feel safe on school premises?,There are not enough teacher duties at the back of the sports field.
27,Relationships,How do you assess teachers’ reactions to conflicts?,Very professionally.
28,Procedures,Do you know the evacuation rules?,I heard the alarm but did not know what to do.
29,Digital safety,Do you know how to report online hate?,I block it and that is all; I do not report it at school.
30,Infrastructure,Do you feel safe on school premises?,"Generally yes, but the fence has a hole."
